Show_ID,Title,Type,Country,Release_Year,Rating
S1,Narcos ,Tv Show,USA,2018,TV-MA
S2,The Office  ,Movie,USA,0,R
S3,Breaking Bad ,Movie,INDIA,2020,PG
S4,Dark,Tv Show,GERMANY,2018,TV-MA
S5,Squid Game,Movie,UK,2018,Not Rated
S6,Stranger Things  ,Tv Show,UNKNOWN,2019,TV-MA
S7,Money Heist ,Movie,INDIA,2020,Not Rated
S8,Friends,Tv Show,USA,2018,Not Rated
S9,The Crown  ,Tv Show,INDIA,2022,Not Rated
S10,The Witcher  ,Tv Show,USA,2022,PG
S11,Narcos  ,Movie,CANADA,0,TV-14
S12,Money Heist,Movie,USA,2020,TV-PG
S13,Ozark ,Movie,USA,2020,PG
S14,The Witcher,Movie,USA,2022,PG
S15,Breaking Bad,Tv Show,USA,2020,TV-PG
S16,The Office ,Movie,INDIA,2020,R
S17,Stranger Things ,Tv Show,UNKNOWN,2022,PG
S18,Lucifer  ,Movie,SPAIN,2020,TV-MA
S19,Breaking Bad ,Tv Show,UNKNOWN,0,TV-PG
S20,Dark ,Tv Show,INDIA,0,R
S21,Stranger Things ,Tv Show,SPAIN,2018,R
S22,Ozark  ,Tv Show,GERMANY,2019,PG
S23,Friends,Tv Show,CANADA,0,Not Rated
S24,Friends ,Movie,USA,0,TV-PG
S25,The Witcher  ,Movie,SPAIN,2019,TV-MA
S26,Breaking Bad  ,Tv Show,USA,2022,Not Rated
S27,Money Heist  ,Movie,USA,2018,Not Rated
S28,Narcos  ,Movie,GERMANY,2020,TV-MA
S29,Dark,Movie,INDIA,0,R
S30,Ozark ,Tv Show,SPAIN,0,PG
S31,Dark ,Tv Show,INDIA,2021,TV-MA
S32,Squid Game,Movie,UNKNOWN,2021,PG
S33,Narcos ,Tv Show,GERMANY,2020,Not Rated
S34,The Office  ,Movie,USA,2018,TV-MA
S35,Money Heist,Tv Show,USA,2019,TV-MA
S36,Squid Game ,Movie,CANADA,0,TV-14
S37,The Crown,Tv Show,USA,2020,R
S38,Stranger Things,Movie,CANADA,2018,TV-14
S39,Friends,Tv Show,UK,2020,TV-14
S40,Squid Game ,Movie,CANADA,0,Not Rated
S41,Narcos,Movie,SPAIN,2019,R
S42,Stranger Things  ,Movie,USA,2021,TV-MA
S43,The Crown  ,Movie,INDIA,2019,TV-MA
S44,Dark  ,Movie,USA,2018,Not Rated
S45,The Witcher ,Movie,USA,2022,TV-14
S46,Dark  ,Movie,USA,2021,PG
S47,The Witcher ,Movie,USA,2022,Not Rated
S48,The Witcher  ,Tv Show,USA,0,TV-PG
S49,The Office,Tv Show,INDIA,2018,TV-MA
S50,Money Heist  ,Tv Show,INDIA,0,R
S51,Narcos  ,Movie,INDIA,2018,Not Rated
S52,Breaking Bad  ,Tv Show,UNKNOWN,2019,TV-MA
S53,Stranger Things,Tv Show,UK,2020,PG
S54,Squid Game ,Tv Show,GERMANY,2019,Not Rated
S55,Money Heist  ,Tv Show,CANADA,2022,TV-MA
S56,Money Heist,Movie,CANADA,2019,TV-14
S57,Narcos  ,Movie,INDIA,2018,R
S58,Breaking Bad,Movie,UNKNOWN,2018,TV-MA
S59,Breaking Bad ,Movie,USA,2018,TV-PG
S60,The Office,Movie,USA,2022,Not Rated
S61,The Crown,Tv Show,INDIA,2022,TV-MA
S62,Ozark ,Tv Show,UNKNOWN,2018,TV-14
